name,stuff,bv,difficulty,tags,methods,tools,
蒸蛋羹（硬核0失败版）,鸡蛋,BV1x441117r4,,,,一口大锅,
蒸卤面,面食,BV1sZ4y137QG,困难,,蒸,一口大锅,
蒸芹菜饼,芹菜、鸡蛋,av809152626,普通,,蒸,一口大锅,
正确煮方便面,方便面,BV1s34y1X74a,,,,一口大锅,
孜然土豆牛肉,牛肉、土豆,BV1qX4y1T7ax,普通,,炒,一口大锅,
自制牛肉干,牛肉,BV1Ht411d71Q,复杂,,,一口大锅,
电饭煲番茄牛肉焖饭,番茄、牛肉、米,BV1Bv411C7X3,普通,,,一口大锅、电饭煲,
电饭煲排骨土豆焖饭,猪肉、土豆、米,BV1Bv411C7X3,普通,,,一口大锅、电饭煲,
米布丁,米、鸡蛋,BV1hr4y1k7A5,简单,,,一口大锅、电饭煲,
麻婆豆腐,豆腐,BV1it4y1X75m,简单,,,一口大锅,
